Table 1,,,,,,,,
,Post menstrual age,,Gender,Parameter,,L,M,S
fenton_2025,22.5,weeks,f,head_circ,cm,1,19.4468341,0.067534449
fenton_2025,22.57142857,weeks,f,head_circ,cm,1,19.51223903,0.067325974
fenton_2025,22.71428571,weeks,f,head_circ,cm,1,19.66436581,0.06684136
fenton_2025,22.85714286,weeks,f,head_circ,cm,1,19.81656037,0.066357389
fenton_2025,23,weeks,f,head_circ,cm,1,19.9688679,0.06587449
fenton_2025,23.14285714,weeks,f,head_circ,cm,1,20.12133359,0.065393091
fenton_2025,23.28571429,weeks,f,head_circ,cm,1,20.27400262,0.064913622
fenton_2025,23.42857143,weeks,f,head_circ,cm,1,20.42692019,0.064436511
fenton_2025,23.57142857,weeks,f,head_circ,cm,1,20.58012819,0.063962235
fenton_2025,23.71428571,weeks,f,head_circ,cm,1,20.73359279,0.063492382
fenton_2025,23.85714286,weeks,f,head_circ,cm,1,20.88720444,0.063029654
fenton_2025,24,weeks,f,head_circ,cm,1,21.04085032,0.062576797
fenton_2025,24.14285714,weeks,f,head_circ,cm,1,21.19441759,0.062136561
fenton_2025,24.28571429,weeks,f,head_circ,cm,1,21.3477934,0.061711694
fenton_2025,24.42857143,weeks,f,head_circ,cm,1,21.50086492,0.061304944
fenton_2025,24.57142857,weeks,f,head_circ,cm,1,21.65352275,0.060919023
fenton_2025,24.71428571,weeks,f,head_circ,cm,1,21.80573626,0.0605558
fenton_2025,24.85714286,weeks,f,head_circ,cm,1,21.95755365,0.060216302
fenton_2025,25,weeks,f,head_circ,cm,1,22.10902654,0.05990152
fenton_2025,25.14285714,weeks,f,head_circ,cm,1,22.26020655,0.059612443
fenton_2025,25.28571429,weeks,f,head_circ,cm,1,22.41114528,0.059350062
fenton_2025,25.42857143,weeks,f,head_circ,cm,1,22.56189437,0.059115367
fenton_2025,25.57142857,weeks,f,head_circ,cm,1,22.71250459,0.058909219
fenton_2025,25.71428571,weeks,f,head_circ,cm,1,22.86300788,0.058729536
fenton_2025,25.85714286,weeks,f,head_circ,cm,1,23.01341725,0.058571286
fenton_2025,26,weeks,f,head_circ,cm,1,23.16374493,0.058429313
fenton_2025,26.14285714,weeks,f,head_circ,cm,1,23.3140031,0.058298458
fenton_2025,26.28571429,weeks,f,head_circ,cm,1,23.464204,0.058173562
fenton_2025,26.42857143,weeks,f,head_circ,cm,1,23.61435982,0.058049469
fenton_2025,26.57142857,weeks,f,head_circ,cm,1,23.76448156,0.057921133
fenton_2025,26.71428571,weeks,f,head_circ,cm,1,23.91455218,0.057786144
fenton_2025,26.85714286,weeks,f,head_circ,cm,1,24.06452662,0.057644721
fenton_2025,27,weeks,f,head_circ,cm,1,24.21435861,0.057497197
fenton_2025,27.14285714,weeks,f,head_circ,cm,1,24.36400187,0.057343908
fenton_2025,27.28571429,weeks,f,head_circ,cm,1,24.51341011,0.057185187
fenton_2025,27.42857143,weeks,f,head_circ,cm,1,24.66253706,0.057021369
fenton_2025,27.57142857,weeks,f,head_circ,cm,1,24.81134197,0.056852746
fenton_2025,27.71428571,weeks,f,head_circ,cm,1,24.95991119,0.056678654
fenton_2025,27.85714286,weeks,f,head_circ,cm,1,25.10845821,0.056497472
fenton_2025,28,weeks,f,head_circ,cm,1,25.257202,0.056307538
fenton_2025,28.14285714,weeks,f,head_circ,cm,1,25.40636158,0.056107191
fenton_2025,28.28571429,weeks,f,head_circ,cm,1,25.55615594,0.055894768
fenton_2025,28.42857143,weeks,f,head_circ,cm,1,25.70680407,0.055668607
fenton_2025,28.57142857,weeks,f,head_circ,cm,1,25.85850277,0.055427206
fenton_2025,28.71428571,weeks,f,head_circ,cm,1,26.01093817,0.055172743
fenton_2025,28.85714286,weeks,f,head_circ,cm,1,26.16328572,0.054911076
fenton_2025,29,weeks,f,head_circ,cm,1,26.31469868,0.054648223
fenton_2025,29.14285714,weeks,f,head_circ,cm,1,26.4643303,0.054390202
fenton_2025,29.28571429,weeks,f,head_circ,cm,1,26.61133384,0.054143031
fenton_2025,29.42857143,weeks,f,head_circ,cm,1,26.75486254,0.053912728
fenton_2025,29.57142857,weeks,f,head_circ,cm,1,26.8941119,0.053705121
fenton_2025,29.71428571,weeks,f,head_circ,cm,1,27.02924878,0.053521648
fenton_2025,29.85714286,weeks,f,head_circ,cm,1,27.16141139,0.053359355
fenton_2025,30,weeks,f,head_circ,cm,1,27.29178021,0.0532151
fenton_2025,30.14285714,weeks,f,head_circ,cm,1,27.42153569,0.05308574
fenton_2025,30.28571429,weeks,f,head_circ,cm,1,27.55185829,0.052968132
fenton_2025,30.42857143,weeks,f,head_circ,cm,1,27.68392847,0.052859133
fenton_2025,30.57142857,weeks,f,head_circ,cm,1,27.81888351,0.052755531
fenton_2025,30.71428571,weeks,f,head_circ,cm,1,27.95686759,0.052652513
fenton_2025,30.85714286,weeks,f,head_circ,cm,1,28.09703176,0.052543668
fenton_2025,31,weeks,f,head_circ,cm,1,28.23848393,0.052422514
